0,	8.251460625000002,9.6949046875
1,	8.412098437499997,9.946874843750004
10,	9.079716484375002,10.05582234375
11,	9.129770828125,10.025354890624998
12,	9.377254545454546,15.380909090909093
12,	14.442409090909093,9.853622727272729
12,	3.17198322,4.4158075
13,	9.231558937500001,10.013505499999997
14,	9.283237343749999,9.931863281250001
15,	9.32944296875,10.197090156249994
16,	9.37284078125,10.117042187500001
17,	9.41782703125,10.128873437500001
18,	9.902936842105262,16.036
18,	14.568260869565215,9.856308695652174
18,	3.791484090909091,5.115748181818181
19,	9.523539218749995,9.979248437500003
2,	9.593026315789473,15.68136842105263
2,	13.371245833333335,9.904754166666669
2,	1.9983380952380951,5.141667142857142
20,	10.033347368421053,15.681947368421053
20,	14.334150000000001,9.802787499999999
20,	3.700787142857143,5.123324285714285
21,	10.002927272727273,15.032636363636367
21,	15.062599999999998,9.859725000000001
21,	4.309475363636363,4.56943909090909
22,	9.677485339062502,10.011133437500002
23,	9.491178947368422,15.283842105263156
23,	14.952086956521743,10.372399999999999
23,	4.472224954545454,4.946645454545454
24,	10.007295238095239,15.344285714285713
24,	15.062999999999999,9.797204545454546
24,	4.021560952380953,4.629470952380951
25,	9.805740909090908,15.161136363636361
25,	15.108454545454544,9.922622727272728
25,	4.044600000000001,4.690885100000001
26,	9.87952171875,10.033528593749999
27,	10.450261904761906,15.452809523809524
27,	15.180333333333332,9.8921380952381
27,	4.401229545454546,5.039459090909092
28,	9.972102968749999,10.242051562499995
29,	15.31068181818182,9.809099999999999
29,	9.923054545454544,14.813999999999998
29,	4.313522,4.848889999999999
3,	8.61493734375,9.860762031249998
30,	10.28444210526316,15.460368421052632
30,	15.112739130434784,9.96819565217391
30,	4.588407272727273,5.556131818181819
31,	15.315869565217389,10.17024347826087
31,	9.802857142857142,14.785666666666668
31,	4.4373165,4.602615000000001
32,	10.159757968749998,10.122253906249997
33,	10.204879999999998,10.126181249999997
34,	10.58245,15.23090909090909
34,	15.526095238095232,9.74915238095238
34,	4.661567142857142,4.9006428571428575
35,	15.614000000000004,9.9683
35,	10.10985909090909,14.49990909090909
35,	4.6879925,4.439992999999999
36,	9.775036842105262,15.143631578947367
36,	15.288039999999997,9.983163999999999
36,	4.750248000000001,4.8958255
37,	10.673813636363638,15.291454545454547
37,	15.664000000000001,9.999890476190476
37,	4.896589999999999,5.292891428571429
38,	9.90899,15.6517
38,	15.568375000000001,10.196183333333332
38,	4.885405,4.588209
39,	10.5009125,10.001507812499995
4,	9.510355,15.6237
4,	13.810291304347826,9.764817391304346
4,	2.3678109523809527,4.987308571428571
40,	9.9447,16.137705882352943
40,	15.298076923076922,10.225861538461537
40,	5.177271428571428,4.908526666666667
41,	15.898130434782608,10.114208695652172
41,	10.116428571428568,15.043000000000001
41,	5.062530000000001,4.8090910000000004
42,	16.105863636363637,9.74565
42,	10.331868181818182,15.140786363636364
42,	5.153949999999999,4.7286895
43,	16.135304347826086,10.061521739130438
43,	10.026550000000002,14.288386363636363
43,	5.126384210526316,4.166199
44,	16.076666666666664,10.288983333333332
44,	9.9362,14.830138095238093
44,	5.193926315789473,4.401512631578947
45,	16.29791666666667,10.143950000000002
45,	10.16347894736842,15.373473684210527
45,	5.536557142857144,4.982787619047618
46,	17.18931578947368,10.165173684210526
46,	10.46152,15.343550000000002
46,	5.792964705882352,5.4359882352941185
5,	8.787249687500001,9.888334531249997
6,	8.844107500000002,9.9077178125
7,	9.446316666666668,15.430333333333339
7,	13.738272,9.990176
7,	2.7238961904761907,4.827995238095237
8,	9.773775000000002,15.289149999999998
8,	14.187954545454547,9.674036363636363
8,	3.0266277272727278,5.1419440909090905
9,	9.017570453125002,10.0401296875
