0,	11.9676775,12.358540000000005
0,	-3.0528028571428574,8.164614285714284
0,	4.162117647058824,4.05764705882353
1,	11.73948809523809,12.348438095238093
1,	4.290326666666667,4.756759333333334
1,	-2.719871428571428,6.659171428571428
10,	12.144285,12.814795
10,	6.572807692307695,5.266302307692308
10,	0.8985413636363635,5.683536363636363
11,	12.198038095238095,12.543264285714285
11,	3.312023692307692,7.241523076923075
11,	3.214602777777778,2.2962014444444443
12,	12.134402325581396,12.612527906976748
12,	3.119220244444445,5.828894444444444
12,	3.1823333333333337,-1.2609833333333336
13,	12.170416279069768,12.426458139534882
13,	3.2594042352941175,6.226517647058824
13,	3.0205,0.16896299999999997
14,	12.213816279069766,12.330390697674417
14,	3.3158876923076925,6.978007692307691
14,	3.22831875,1.8397937500000001
15,	14.33082608695652,10.054026086956524
15,	9.85629,15.590699999999998
15,	3.3499785714285713,5.2170080952380955
16,	12.299469047619047,12.63981428571428
16,	5.823933333333334,5.533225000000001
16,	1.3396910000000002,5.021980000000001
17,	12.421280952380952,12.590952380952382
17,	4.693546666666666,6.376933333333333
17,	1.5205614285714284,3.3962714285714286
18,	12.47670243902439,12.867546341463417
18,	5.192185714285714,6.568621428571428
18,	2.489227777777778,2.710606666666667
19,	12.40567142857143,12.579366666666663
19,	4.50835,5.685821052631579
19,	0.9365533333333332,0.7693
2,	11.701800000000004,12.457211627906979
2,	4.108142857142857,4.564743571428571
2,	-2.2212714285714283,6.295514285714286
20,	12.564845238095236,12.42692619047619
20,	3.6906483333333333,7.709325
20,	4.035845,2.637091
21,	12.60388536585366,12.586597560975608
21,	3.6496034117647054,6.45409411764706
21,	6.220383333333333,0.44501000000000007
22,	12.526116279069766,12.526620930232557
22,	3.650685333333334,6.444053333333334
22,	4.329296950000001,0.9011733333333334
23,	12.67289512195122,12.593297560975609
23,	5.7996133333333315,6.238593333333332
23,	2.004556125,3.4850375
24,	12.593934883720932,12.506244186046512
24,	4.072041764705883,5.900529411764706
24,	3.8070174999999997,-0.7725275
25,	12.631641860465114,12.561876744186048
25,	4.099419999999999,6.42193125
25,	4.0505960000000005,0.5497604
26,	12.744045238095236,12.546857142857144
26,	4.9566138461538465,7.337838461538463
26,	3.622612222222222,2.1984366666666673
27,	12.815297619047621,12.672473809523812
27,	4.623221428571428,7.055607142857142
27,	4.012743749999999,1.5112
28,	12.75593571428571,12.80581904761905
28,	6.078730769230768,6.551615384615384
28,	2.604643333333333,3.6084333333333336
29,	12.934363414634149,12.515751219512195
29,	6.076063636363636,7.974454545454545
29,	3.68892,3.1517666666666657
3,	11.785845238095236,12.481873809523812
3,	2.872018125,6.481162500000002
3,	1.7330333333333332,0.5252450000000001
30,	12.940351219512195,12.660043902439032
30,	6.887991666666665,6.65215
30,	2.7938236363636366,4.2148
31,	12.988133333333334,12.383609523809529
31,	4.47913125,6.8456624999999995
31,	4.950605,1.13745
32,	13.020151219512194,12.743682926829267
32,	6.510014285714284,6.783542857142856
32,	2.806456666666667,3.373738888888889
33,	13.082764285714282,12.552442857142854
33,	4.9611600000000005,8.470499999999998
33,	4.502051666666667,3.0140000000000007
34,	12.996788372093024,12.553772093023257
34,	5.002592857142857,6.644807142857144
34,	3.9795157142857143,1.4123142857142856
35,	13.167890476190477,12.266657142857143
35,	5.0524642857142865,7.082407142857143
35,	4.48735625,1.593395
36,	13.223704878048782,12.45089512195122
36,	5.381457894736842,6.609510526315789
36,	4.628015,-0.21069749999999998
37,	13.110881395348839,12.707202325581394
37,	5.9996133333333335,5.909521333333333
37,	2.1390316666666664,3.7513166666666664
38,	13.159560465116279,12.681404651162786
38,	4.998228571428571,6.979799999999999
38,	4.813228571428572,0.926997142857143
39,	13.035668181818183,12.318436363636362
39,	5.126205263157894,5.244394736842104
39,	1.0911,-1.5582
4,	11.810320930232558,12.489879069767438
4,	2.2139330769230767,7.092592307692308
4,	2.6178625,1.5662224999999999
40,	13.181625581395345,12.563102325581397
40,	5.903992307692307,6.56366923076923
40,	3.9963499999999996,2.2189200000000002
41,	15.898130434782608,10.114208695652172
41,	10.116428571428568,15.043000000000001
41,	5.062530000000001,4.8090910000000004
42,	13.389488095238091,12.677252380952378
42,	4.741284615384615,6.941315384615384
42,	6.745988888888889,2.1548544444444446
43,	13.284700000000003,12.174624999999999
43,	5.0290333333333335,5.928726666666666
43,	5.82702,0.06057619999999997
44,	13.509390697674418,12.469339534883717
44,	4.861476923076923,6.9787461538461555
44,	6.135225,1.8864925000000001
45,	13.77340731707317,12.603214634146338
45,	8.715440000000001,6.581184
45,	3.7430538461538463,4.434284615384616
46,	13.739164102564104,12.820751282051285
46,	5.792964705882352,5.4359882352941185
5,	11.856362790697675,12.321818604651158
5,	2.135712857142857,6.7054285714285715
5,	3.2372,1.3056014285714284
6,	11.893769767441862,12.325479069767441
6,	2.847104666666667,6.362166666666666
6,	1.9807016666666666,1.4443066666666666
7,	12.232073170731708,12.31718536585366
7,	3.0943020000000003,7.473133333333333
7,	2.8453487500000003,1.4733375
8,	12.414165000000002,12.30297
8,	3.680493846153846,8.54706923076923
8,	2.7075718181818185,2.5912609090909093
9,	12.117219047619049,12.557352380952382
9,	3.1802892142857138,6.984964285714287
9,	2.9596575,2.17125
