0,	14.302953846153846,10.09723076923077
0,	9.51371111111111,15.292444444444445
0,	3.8725185000000004,4.8468350000000004
1,	12.644214285714286,12.587754761904762
1,	4.554073076923077,7.725784615384615
1,	3.5846197777777777,2.304477777777778
10,	12.2982511627907,12.703958139534882
10,	4.176585107692308,6.596638461538461
10,	3.5915927125000002,1.7775062499999998
11,	12.623748780487803,12.484221951219515
11,	4.007462857142857,7.118428571428572
11,	5.490872222222222,2.1130122222222223
12,	12.223522727272725,12.50950681818182
12,	5.351019999999999,4.588562733333333
12,	0.19733000000000006,4.2488399999999995
13,	12.900192857142857,12.392757142857144
13,	4.120447571428572,6.945907142857143
13,	4.0018537499999995,1.71379875
14,	12.68721951219512,12.62521951219512
14,	4.739108,7.271306666666665
14,	3.9576000000000002,2.2392487500000002
15,	12.79130731707317,12.323639024390241
15,	3.421053333333333,8.530291666666667
15,	4.372942727272727,2.643540909090909
16,	12.848948780487802,12.610121951219515
16,	6.335854545454546,8.569
16,	3.223974166666667,3.4738474999999998
17,	12.676228571428572,12.460842857142858
17,	4.4917229999999995,6.075316666666667
17,	3.9757499999999997,-0.8361900000000002
18,	12.687927906976748,12.71869534883721
18,	4.994594117647059,5.432320588235293
18,	-0.59943275,3.5843249999999998
19,	12.92317317073171,12.44320243902439
19,	5.3128714285714285,7.71207857142857
19,	3.0285544444444445,2.343051111111111
2,	12.480804651162794,12.334962790697675
2,	4.095093333333335,6.621379999999999
2,	2.889696666666667,1.1083833333333333
20,	12.389527272727271,12.336802272727276
20,	5.343258333333334,5.489208333333333
20,	0.58304875,3.6862125
21,	12.641895238095241,12.520852380952379
21,	4.622304999999999,5.361678
21,	-2.0364299999999997,2.110035
22,	12.527509523809526,12.607121428571428
22,	6.628458333333334,5.218403333333333
22,	1.098275,5.052009999999999
23,	12.73172619047619,12.402528571428574
23,	5.0049125,6.265868750000001
23,	1.5954199999999998,2.1463466666666666
24,	12.852571428571428,12.385357142857142
24,	4.193106352941178,6.724817647058824
24,	3.5121928,0.42944000000000004
25,	12.726066666666663,12.274000000000001
25,	3.8867481818181826,7.5699000000000005
25,	4.241307272727273,3.0676118181818186
26,	12.512083333333335,12.748292857142857
26,	6.3125636363636355,7.235472727272727
26,	2.245248181818182,3.3717839090909094
27,	12.509651162790696,12.69589069767442
27,	4.281235555555555,5.776314444444445
27,	0.5429333333333333,0.8296333333333336
28,	12.549542857142859,12.631354761904763
28,	5.124994444444446,5.638816666666667
28,	-0.058625000000000094,1.318575
29,	12.733290476190477,12.539278571428573
29,	2.581917,7.866409999999999
29,	4.237257916666667,3.1325191666666665
3,	12.754669047619045,12.297361904761905
3,	4.1576162352941175,6.51365882352941
3,	2.7136000000000005,-0.022523999999999943
30,	12.977071794871799,12.605694871794874
30,	6.847547058823529,6.366941176470587
30,	1.0413299999999999,4.209725000000001
31,	12.592718604651166,12.70665813953488
31,	2.367373076923077,5.705261538461538
31,	7.136675,2.6189687499999996
32,	12.52295681818182,12.656661363636363
32,	5.259628571428572,4.516135714285715
32,	0.5443946666666667,5.703916666666667
33,	12.664773809523812,12.673811904761905
33,	4.252594,6.576466666666667
33,	5.484214285714286,1.6802828571428574
34,	12.468651162790701,12.469269767441862
34,	3.8148933333333335,5.6334333333333335
34,	4.394166666666666,-0.5419866666666667
35,	12.513530232558143,12.590637209302328
35,	4.7418933333333335,6.216913333333335
35,	2.087518333333333,2.6483916666666665
36,	12.855914634146341,12.518931707317071
36,	4.407307272727272,8.323327272727273
36,	3.1819883333333334,2.7821383333333336
37,	12.650088372093023,12.516995348837208
37,	3.0870733333333336,6.726026666666666
37,	4.400313333333334,1.56734
38,	12.647881395348838,12.272906976744181
38,	2.8298593333333333,6.430706666666667
38,	4.429906666666667,0.9909233333333333
39,	12.5634488372093,12.504686046511631
39,	3.86395947368421,5.68573157894737
39,	1.948285,-1.57411
4,	12.467234090909091,12.562252272727276
4,	2.858180769230769,5.93673076923077
4,	6.356,2.8839642857142858
40,	12.402697727272722,12.495036363636366
40,	4.316744375,5.52678075
40,	0.6158250000000001,0.6493800000000001
41,	12.804109756097562,12.844404878048783
41,	3.8822400000000004,8.84362
41,	4.124983846153847,3.513459230769231
42,	12.629204651162791,12.456381395348838
42,	2.657496,7.681069999999998
42,	4.299618181818182,2.67792
43,	12.59786976744186,12.49642558139535
43,	2.514069166666667,7.230833333333333
43,	4.383933333333333,2.5570666666666666
44,	12.981082051282051,12.424664102564101
44,	3.4140963636363635,8.777999999999999
44,	5.515856357142857,3.3263999999999996
45,	12.587216279069768,12.282820930232559
45,	4.077529444444445,5.8084694444444445
45,	0.5638433333333334,1.1824000000000001
46,	12.940824324324327,12.779556756756756
46,	3.233703333333333,8.700966666666666
46,	5.09606,3.4624390000000007
5,	12.521502325581395,12.398262790697675
5,	4.609023333333334,6.019227777777779
5,	2.8142633333333333,-0.06520666666666668
6,	12.560902380952381,12.090185714285715
6,	4.253210444444445,6.5510166666666665
6,	4.055702500000001,-1.1574275
7,	12.739513953488371,12.463899999999999
7,	4.2658724375,6.167593749999999
7,	0.9775120000000002,1.078618
8,	12.819997619047617,12.692685714285714
8,	4.246042307692308,7.755661538461538
8,	3.4787100000000004,1.5911588888888888
9,	12.37390930232558,12.341793023255814
9,	2.7904071428571435,6.39277857142857
9,	5.421814285714285,1.2225617142857144
